open_time,open,high,low,close,close_time
1578697200000,142.88,144.98,142.53,144.8,1578700799999
1578700800000,144.8,144.82,143.19,143.49,1578704399999
1578704400000,143.53,145.29,143.47,144.08,1578707999999
1578708000000,144.12,144.48,143.29,143.81,1578711599999
1578711600000,143.81,143.84,142.75,143.45,1578715199999
1578715200000,143.47,144.01,142.77,143.19,1578718799999
1578718800000,143.19,143.21,142.17,142.87,1578722399999
1578722400000,142.87,143.59,142.0,142.86,1578725999999
1578726000000,142.87,143.73,142.7,142.88,1578729599999
1578729600000,142.88,143.38,142.47,142.72,1578733199999
1578733200000,142.72,144.0,142.63,143.77,1578736799999
1578736800000,143.77,143.82,142.72,142.88,1578740399999
1578740400000,142.9,143.22,142.37,142.61,1578743999999
1578744000000,142.56,142.92,142.05,142.67,1578747599999
1578747600000,142.69,143.65,142.47,143.53,1578751199999
1578751200000,143.52,143.72,142.53,142.57,1578754799999
1578754800000,142.57,143.56,142.35,143.4,1578758399999
1578758400000,143.4,146.8,142.54,146.29,1578761999999
1578762000000,146.34,148.03,145.75,146.54,1578765599999
1578765600000,146.58,147.09,145.75,146.59,1578769199999
1578769200000,146.64,147.07,145.8,146.29,1578772799999
1578772800000,146.25,147.11,145.13,145.87,1578776399999
1578776400000,145.88,147.81,143.0,143.78,1578779999999
1578780000000,143.82,144.25,142.15,143.31,1578783599999
1578783600000,143.31,143.44,142.35,142.4,1578787199999
1578787200000,142.4,143.69,141.71,143.29,1578790799999
1578790800000,143.25,144.0,142.9,143.25,1578794399999
1578794400000,143.25,144.48,143.05,144.09,1578797999999
1578798000000,144.09,144.51,143.52,143.98,1578801599999
1578801600000,143.99,144.2,143.37,143.57,1578805199999
1578805200000,143.61,144.16,143.5,144.11,1578808799999
1578808800000,144.11,145.89,144.08,144.28,1578812399999
1578812400000,144.25,144.97,144.24,144.54,1578815999999
1578816000000,144.54,145.42,144.51,144.86,1578819599999
1578819600000,144.86,145.08,144.11,144.42,1578823199999
1578823200000,144.42,144.44,143.21,143.53,1578826799999
1578826800000,143.55,143.81,143.3,143.42,1578830399999
1578830400000,143.45,144.24,143.41,143.72,1578833999999
1578834000000,143.73,145.28,143.37,145.12,1578837599999
1578837600000,145.12,145.42,143.68,144.24,1578841199999
1578841200000,144.2,145.19,144.14,144.99,1578844799999
1578844800000,144.99,145.56,143.77,143.95,1578848399999
1578848400000,143.94,145.68,143.6,144.2,1578851999999
